"exposure","outcome","nsnp","beta","se","pval","ci_lo","ci_hi","or","or_lo","or_hi","pval_fdr"
"Fresh fruit intake","CKD (FinnGen R12)",44,-0.424968492307589,0.236196504596976,0.0719845448287449,-0.887913641317662,0.0379766567024843,0.653790384231658,0.411513422339635,1.03870698574929,0.179961362071862
"Cooked vegetable intake","CKD (FinnGen R12)",14,0.559746937363172,0.365817320466867,0.125985310948008,-0.157255010751888,1.27674888547823,1.75022952654937,0.854486127881551,3.58496562512934,0.251970621896016
"Salad/raw vegetable intake","CKD (FinnGen R12)",15,-0.00409336615483766,0.415062932414035,0.992131360186397,-0.817616713686345,0.80942998137667,0.995915000248924,0.441482581072291,2.24662700238767,0.992131360186397
"Dried fruit intake","CKD (FinnGen R12)",36,-0.495790911771,0.196281515695043,0.0115396582607356,-0.880502682533285,-0.111079141008715,0.609088981096144,0.414574459953685,0.894867925376264,0.0576982913036779
"Tea intake","CKD (FinnGen R12)",37,-0.405797730814731,0.141581857324175,0.0041547052567294,-0.683298171170114,-0.128297290459349,0.666444955070822,0.504948835253102,0.879591846006978,0.041547052567294
"Oily fish intake","CKD (FinnGen R12)",54,-0.308796479837044,0.14210186290661,0.0297754810240813,-0.587316131134,-0.0302768285400872,0.734330205822302,0.555817024714721,0.970176923709372,0.0992516034136044
"Processed meat intake","CKD (FinnGen R12)",19,0.0446980276207747,0.237417869095017,0.850667096540338,-0.420640995805459,0.510037051047008,1.04571203607456,0.65662579051299,1.66535289687129,0.945185662822598
"Beef intake","CKD (FinnGen R12)",11,0.450760246153145,0.37419014003372,0.228346605836159,-0.282652428312947,1.18417292061924,1.56950494213299,0.75378173552377,3.26798282220014,0.380577676393598
"Pork intake","CKD (FinnGen R12)",11,0.311340504490268,0.432999311458423,0.472120998951448,-0.53733814596824,1.16001915494878,1.36525401717231,0.584301509513833,3.18999437970991,0.67445856993064
"Lamb/mutton intake","CKD (FinnGen R12)",24,0.0690201878196846,0.297709906931449,0.816664575936498,-0.514491229765955,0.652531605405324,1.07145783932767,0.597804662479383,1.92039636608943,0.945185662822598
