"exposure","outcome","method","nsnp_total","beta","se","pval","ci_lo","ci_hi","or","or_lo","or_hi","pval_fdr"
"Fresh fruit intake","eGFR (log-transformed)","MVMR-IVW",156,0.0168687833409698,0.00641458220427021,0.00854462771458526,0.00429620222060022,0.0294413644613395,1.01701186467042,1.00430544412765,1.0298790461888,0.0512677662875116
"Cooked vegetable intake","eGFR (log-transformed)","MVMR-IVW",156,-0.0144969867550403,0.00995048611475284,0.145140558594485,-0.0339999395399559,0.00500596602987522,0.985607588605006,0.966571563076464,1.00501851681201,0.2255281563002
"Salad/raw vegetable intake","eGFR (log-transformed)","MVMR-IVW",156,0.0103696678543033,0.0106430875412845,0.329902583473156,-0.0104907837266144,0.0312301194352209,1.01042361918454,0.989564052618714,1.03172289606134,0.395883100167787
"Oily fish intake","eGFR (log-transformed)","MVMR-IVW",156,0.00550321186439497,0.00382622150576545,0.150352104200133,-0.00199618228690531,0.0130026060156952,1.00551838235084,0.998005808759905,1.01308750747831,0.2255281563002
"Processed meat intake","eGFR (log-transformed)","MVMR-IVW",156,-0.0134424652437758,0.00651782909325504,0.0391682897947124,-0.0262174102665557,-0.000667520220995962,0.98664748120705,0.974123282182592,0.999332702521062,0.117504869384137
"Beef intake","eGFR (log-transformed)","MVMR-IVW",156,0.00468485083039381,0.00961912473481213,0.626233497384017,-0.014168633649838,0.0235383353106256,1.00469584190118,0.985931269055068,1.02381754835808,0.626233497384017
"Fresh fruit intake","CKD (binary)","MVMR-IVW",156,-0.225875969935693,0.171230082208124,0.187123251079246,-0.561486931063617,0.109734991192231,0.797817048829208,0.57036034649643,1.11598228613274,0.572958699730456
"Cooked vegetable intake","CKD (binary)","MVMR-IVW",156,-0.145362641193531,0.268778857445424,0.588627400059189,-0.672169201786563,0.3814439193995,0.864708657266012,0.510599781661457,1.46439753561538,0.706352880071027
"Salad/raw vegetable intake","CKD (binary)","MVMR-IVW",156,0.0423197853209334,0.284914330507022,0.881920468688925,-0.51611230247283,0.600751873114697,1.04322803442661,0.596836362711206,1.8234893176913,0.881920468688925
"Oily fish intake","CKD (binary)","MVMR-IVW",156,0.092634646713559,0.102453927152084,0.365911063994478,-0.108175050504525,0.293444343931643,1.09706084725369,0.897470480018859,1.34103854040046,0.572958699730456
"Processed meat intake","CKD (binary)","MVMR-IVW",156,0.190562433074857,0.17649313241862,0.280268732096864,-0.155364106465639,0.536488972615353,1.20992991092414,0.856103407942318,1.70999247960888,0.572958699730456
"Beef intake","CKD (binary)","MVMR-IVW",156,0.227915441615104,0.260692957890559,0.381972466486971,-0.283042755850391,0.738873639080599,1.25597911737639,0.753487571169132,2.09357606368729,0.572958699730456
